"","Year","SpnForAbd_Total","Recruits_Total","CU_ID","CU_Name","DU_ID","Recruits_Wild","SpnForTrend_Total","SpnForAbd_Wild","SpnForTrend_Wild","Species"
"1",1957,NA,NA,"PKO-01","Fraser Pink",NA,NA,NA,NA,NA,"Pink"
"2",1959,NA,NA,"PKO-01","Fraser Pink",NA,NA,NA,NA,NA,"Pink"
"3",1961,NA,NA,"PKO-01","Fraser Pink",NA,NA,NA,NA,NA,"Pink"
"4",1963,NA,NA,"PKO-01","Fraser Pink",NA,NA,NA,NA,NA,"Pink"
"5",1965,NA,NA,"PKO-01","Fraser Pink",NA,NA,NA,NA,NA,"Pink"
"6",1967,NA,NA,"PKO-01","Fraser Pink",NA,NA,NA,NA,NA,"Pink"
"7",1969,NA,NA,"PKO-01","Fraser Pink",NA,NA,NA,NA,NA,"Pink"
"8",1971,NA,NA,"PKO-01","Fraser Pink",NA,NA,NA,NA,NA,"Pink"
"9",1973,NA,NA,"PKO-01","Fraser Pink",NA,NA,NA,NA,NA,"Pink"
"10",1975,NA,NA,"PKO-01","Fraser Pink",NA,NA,NA,NA,NA,"Pink"
"11",1977,NA,NA,"PKO-01","Fraser Pink",NA,NA,NA,NA,NA,"Pink"
"12",1979,NA,NA,"PKO-01","Fraser Pink",NA,NA,NA,NA,NA,"Pink"
"13",1981,NA,NA,"PKO-01","Fraser Pink",NA,NA,NA,NA,NA,"Pink"
"14",1983,NA,NA,"PKO-01","Fraser Pink",NA,NA,NA,NA,NA,"Pink"
"15",1985,NA,NA,"PKO-01","Fraser Pink",NA,NA,NA,NA,NA,"Pink"
"16",1987,NA,NA,"PKO-01","Fraser Pink",NA,NA,NA,NA,NA,"Pink"
"17",1989,NA,NA,"PKO-01","Fraser Pink",NA,NA,NA,NA,NA,"Pink"
"18",1991,NA,NA,"PKO-01","Fraser Pink",NA,NA,NA,NA,NA,"Pink"
"19",1993,10768335,12903708,"PKO-01","Fraser Pink",NA,NA,10768335,10768335,10768335,"Pink"
"20",1995,7174584,8175964,"PKO-01","Fraser Pink",NA,NA,7174584,7174584,7174584,"Pink"
"21",1997,2842108,3608265,"PKO-01","Fraser Pink",NA,NA,2842108,2842108,2842108,"Pink"
"22",1999,3444982,21261774,"PKO-01","Fraser Pink",NA,NA,3444982,3444982,3444982,"Pink"
"23",2001,19813620,24250000,"PKO-01","Fraser Pink",NA,NA,19813620,19813620,19813620,"Pink"
"24",2003,22181030,9870000,"PKO-01","Fraser Pink",NA,NA,22181030,22181030,22181030,"Pink"
"25",2005,8809624,8490000,"PKO-01","Fraser Pink",NA,NA,8809624,8809624,8809624,"Pink"
"26",2007,7650052,19936153,"PKO-01","Fraser Pink",NA,NA,7650052,7650052,7650052,"Pink"
"27",2009,15428836,20645119.62,"PKO-01","Fraser Pink",NA,NA,15428836,15428836,15428836,"Pink"
"28",2011,12784507.74,15897819.05,"PKO-01","Fraser Pink",NA,NA,12784507.74,12784507.74,12784507.74,"Pink"
"29",2013,9344490.078,5865236.133,"PKO-01","Fraser Pink",NA,NA,9344490.078,9344490.078,9344490.078,"Pink"
"30",2015,5368996,3563091.085,"PKO-01","Fraser Pink",NA,NA,5368996,5368996,5368996,"Pink"
"31",2017,3392159,8858203.465,"PKO-01","Fraser Pink",NA,NA,3392159,3392159,3392159,"Pink"
"32",2019,8307419.479,8107513.214,"PKO-01","Fraser Pink",NA,NA,8307419.479,8307419.479,8307419.479,"Pink"
"33",2021,7827444.568,NA,"PKO-01","Fraser Pink",NA,NA,7827444.568,7827444.568,7827444.568,"Pink"
