"CU_ID","Year","Value"
"CU-1",1995,4373.48009874312
"CU-1",1996,5841.31751507642
"CU-1",1997,8269.22695325682
"CU-1",1998,8439.03215195701
"CU-1",1999,6240.04006780855
"CU-1",2000,6942.25744538754
"CU-1",2001,7201.05913673889
"CU-1",2002,8311.65178675943
"CU-1",2003,7702.83560524898
"CU-1",2004,4009.29036766521
"CU-1",2005,3001.86633549093
"CU-1",2006,1927.0922289153
"CU-1",2007,1483.19804933128
"CU-1",2008,1421.7359616771
"CU-1",2009,1412.86008084696
"CU-1",2010,2184.79769142453
"CU-1",2011,2555.45839298013
"CU-1",2012,1343.03752054602
"CU-1",2013,1579.17981461111
"CU-1",2014,1716.02704101389
"CU-1",2015,1655.61213175876
"CU-1",2016,2065.75877649436
"CU-1",2017,1083.40763793375
"CU-1",2018,1000.39273414402
"CU-1",2019,275.880235064546
"CU-1",2020,343.57866560535
"CU-1",2021,646.832503531879
"CU-1",2022,506.78867208349
"CU-10",1995,7697.94665187166
"CU-10",1996,7879.21531236501
"CU-10",1997,6436.4531304223
"CU-10",1998,8115.90966250355
"CU-10",1999,7049.89734026339
"CU-10",2000,5601.45198127231
"CU-10",2001,4224.01917081837
"CU-10",2002,3796.53489996227
"CU-10",2003,3931.9232894951
"CU-10",2004,4015.66053846388
"CU-10",2005,5753.58705445999
"CU-10",2006,6011.40482993436
"CU-10",2007,4642.8097277266
"CU-10",2008,2333.175663437
"CU-10",2009,1397.73322399275
"CU-10",2010,1790.53850308321
"CU-10",2011,1518.7792356057
"CU-10",2012,1128.28409029908
"CU-10",2013,1643.46680476815
"CU-10",2014,1347.72700751431
"CU-10",2015,599.422027593972
"CU-10",2016,678.334116716389
"CU-10",2017,421.124604999067
"CU-10",2018,476.784026725488
"CU-10",2019,940.009915823947
"CU-10",2020,785.586423872608
"CU-10",2021,1013.85007741005
"CU-10",2022,858.097856147303
"CU-11",1995,49099.8582854971
"CU-11",1996,47166.1023165388
"CU-11",1997,33883.3393108479
"CU-11",1998,32330.8292856285
"CU-11",1999,32994.0698629902
"CU-11",2000,18957.5212655932
"CU-11",2001,16858.0768306666
"CU-11",2002,18388.7640112543
"CU-11",2003,21568.0720576237
"CU-11",2004,31956.4942012046
"CU-11",2005,42831.1068568369
"CU-11",2006,32261.758556695
"CU-11",2007,29495.6041225757
"CU-11",2008,13777.6971667196
"CU-11",2009,12206.4983586831
"CU-11",2010,14361.6049962715
"CU-11",2011,16374.679800788
"CU-11",2012,14527.354256879
"CU-11",2013,15017.452153582
"CU-11",2014,12323.6428763516
"CU-11",2015,5428.38145003363
"CU-11",2016,4061.59976337406
"CU-11",2017,4031.72247186863
"CU-11",2018,3691.3658733946
"CU-11",2019,3604.05032253513
"CU-11",2020,2635.16987787225
"CU-11",2021,3312.34067010685
"CU-11",2022,4471.12071721087
"CU-12",1995,89628.0027364164
"CU-12",1996,65212.9112895557
"CU-12",1997,43321.4919859545
"CU-12",1998,70974.941798955
"CU-12",1999,75725.0538637853
"CU-12",2000,53582.3980953402
"CU-12",2001,52370.0212516982
"CU-12",2002,51932.4052491237
"CU-12",2003,82772.899721721
"CU-12",2004,107905.627034011
"CU-12",2005,113623.939923124
"CU-12",2006,112641.635589315
"CU-12",2007,82707.9842244327
"CU-12",2008,63460.5907982253
"CU-12",2009,63619.7834041711
"CU-12",2010,52906.9199229387
"CU-12",2011,62112.455909093
"CU-12",2012,51614.4377514323
"CU-12",2013,56466.5410402053
"CU-12",2014,40484.6232745163
"CU-12",2015,28901.7908401607
"CU-12",2016,42020.7401160071
"CU-12",2017,29062.1558477295
"CU-12",2018,23330.8743980051
"CU-12",2019,11898.0741810402
